file_id	ecli
1-1056-07_2	ECLI:CZ:US:2008:1.US.1056.07.2
1-1099-18_1	ECLI:CZ:US:2018:1.US.1099.18.1
1-139-04	ECLI:CZ:US:2006:1.US.139.04
1-1524-15_1	ECLI:CZ:US:2016:1.US.1524.15.1
1-1586-09_1	ECLI:CZ:US:2012:1.US.1586.09.1
1-1822-14_1	ECLI:CZ:US:2015:1.US.1822.14.1
1-1835-07_1	ECLI:CZ:US:2008:1.US.1835.07.1
1-1922-09_1	ECLI:CZ:US:2009:1.US.1922.09.1
1-1947-07_1	ECLI:CZ:US:2007:1.US.1947.07.1
1-2-95	ECLI:CZ:US:1996:1.US.2.95
1-2025-10_1	ECLI:CZ:US:2010:1.US.2025.10.1
1-2166-10_1	ECLI:CZ:US:2011:1.US.2166.10.1
1-22-10_1	ECLI:CZ:US:2010:1.US.22.10.1
1-2208-13_2	ECLI:CZ:US:2013:1.US.2208.13.2
1-2576-10_1	ECLI:CZ:US:2011:1.US.2576.10.1
1-2665-13_1	ECLI:CZ:US:2013:1.US.2665.13.1
1-277-96	ECLI:CZ:US:1996:1.US.277.96
1-299-09_1	ECLI:CZ:US:2011:1.US.299.09.1
1-3179-18_2	ECLI:CZ:US:2021:1.US.3179.18.2
1-3481-10_1	ECLI:CZ:US:2011:1.US.3481.10.1
1-350-04	ECLI:CZ:US:2004:1.US.350.04
1-3709-16_1	ECLI:CZ:US:2017:1.US.3709.16.1
1-383-05_2	ECLI:CZ:US:2007:1.US.383.05.2
1-3918-19_4	ECLI:CZ:US:2021:1.US.3918.19.4
1-4178-18_2	ECLI:CZ:US:2019:1.US.4178.18.2
1-4503-12_1	ECLI:CZ:US:2014:1.US.4503.12.1
1-453-03	ECLI:CZ:US:2005:1.US.453.03
1-48-04	ECLI:CZ:US:2005:1.US.48.04
1-529-09_1	ECLI:CZ:US:2012:1.US.529.09.1
1-544-06_1	ECLI:CZ:US:2007:1.US.544.06.1
1-554-04	ECLI:CZ:US:2005:1.US.554.04
1-557-09_1	ECLI:CZ:US:2009:1.US.557.09.1
1-566-07_1	ECLI:CZ:US:2009:1.US.566.07.1
1-626-06	ECLI:CZ:US:2007:1.US.626.06
1-631-23_1	ECLI:CZ:US:2023:1.US.631.23.1
1-642-03	ECLI:CZ:US:2004:1.US.642.03
1-689-05	ECLI:CZ:US:2006:1.US.689.05
1-717-05	ECLI:CZ:US:2006:1.US.717.05
1-89-07_1	ECLI:CZ:US:2009:1.US.89.07.1
2-101-95	ECLI:CZ:US:1995:2.US.101.95
2-1148-07_1	ECLI:CZ:US:2008:2.US.1148.07.1
2-129-98	ECLI:CZ:US:1998:2.US.129.98
2-1398-17_1	ECLI:CZ:US:2017:2.US.1398.17.1
2-1404-11_1	ECLI:CZ:US:2014:2.US.1404.11.1
2-149-94	ECLI:CZ:US:1995:2.US.149.94
2-1529-08_1	ECLI:CZ:US:2012:2.US.1529.08.1
2-1658-11_1	ECLI:CZ:US:2011:2.US.1658.11.1
2-173-95	ECLI:CZ:US:1996:2.US.173.95
2-1842-12_1	ECLI:CZ:US:2013:2.US.1842.12.1
2-2000-16_1	ECLI:CZ:US:2016:2.US.2000.16.1
2-2108-14_1	ECLI:CZ:US:2015:2.US.2108.14.1
2-216-99	ECLI:CZ:US:1999:2.US.216.99
2-2196-13_1	ECLI:CZ:US:2015:2.US.2196.13.1
2-2326-07_1	ECLI:CZ:US:2011:2.US.2326.07.1
2-2385-21_2	ECLI:CZ:US:2021:2.US.2385.21.2
2-2398-18_1	ECLI:CZ:US:2019:2.US.2398.18.1
2-2461-08_2	ECLI:CZ:US:2009:2.US.2461.08.2
2-2533-20_1	ECLI:CZ:US:2023:2.US.2533.20.1
2-27-2000	ECLI:CZ:US:2001:2.US.27.2000
2-274-06_2	ECLI:CZ:US:2008:2.US.274.06.2
2-2766-14_2	ECLI:CZ:US:2015:2.US.2766.14.2
2-287-96	ECLI:CZ:US:1997:2.US.287.96
2-2888-18_1	ECLI:CZ:US:2019:2.US.2888.18.1
2-298-13_1	ECLI:CZ:US:2014:2.US.298.13.1
2-3120-10_1	ECLI:CZ:US:2012:2.US.3120.10.1
2-3212-18_1	ECLI:CZ:US:2019:2.US.3212.18.1
2-3246-09_1	ECLI:CZ:US:2010:2.US.3246.09.1
2-3374-11_1	ECLI:CZ:US:2012:2.US.3374.11.1
2-3383-14_1	ECLI:CZ:US:2016:2.US.3383.14.1
2-3447-21_1	ECLI:CZ:US:2023:2.US.3447.21.1
2-3528-13_1	ECLI:CZ:US:2014:2.US.3528.13.1
2-3608-10_1	ECLI:CZ:US:2011:2.US.3608.10.1
2-3634-11_3	ECLI:CZ:US:2014:2.US.3634.11.3
2-3647-10_1	ECLI:CZ:US:2011:2.US.3647.10.1
2-3694-13_2	ECLI:CZ:US:2015:2.US.3694.13.2
2-431-11_1	ECLI:CZ:US:2012:2.US.431.11.1
2-528-02	ECLI:CZ:US:2005:2.US.528.02
2-546-02	ECLI:CZ:US:2004:2.US.546.02
2-549-06	ECLI:CZ:US:2006:2.US.549.06
2-597-02	ECLI:CZ:US:2005:2.US.597.02
2-623-2000	ECLI:CZ:US:2002:2.US.623.2000
2-657-22_1	ECLI:CZ:US:2023:2.US.657.22.1
2-658-14_1	ECLI:CZ:US:2014:2.US.658.14.1
2-715-04	ECLI:CZ:US:2005:2.US.715.04
