rapporteur,n,resembles,P_on,P_off,lift
Vladimír Sládeček,3,Eliška Wagnerová,0.302,0.014,21.1
Iva Brožová,1,Stanislav Balík,0.893,0.046,19.4
Ludvík David,18,Josef Fiala,0.556,0.075,7.4
Jiří Zemánek,14,Josef Fiala,0.468,0.092,5.1
Kateřina Šimáčková,9,Ivana Janů,0.385,0.095,4.1
Miloslav Výborný,5,Ivana Janů,0.305,0.103,3.0
Michaela Židlická,7,Ivana Janů,0.288,0.101,2.8
Stanislav Balík,5,Radovan Suchánek,0.412,0.151,2.7
Jan Filip,16,Radovan Suchánek,0.266,0.148,1.8
Kateřina Šimáčková,9,Radovan Suchánek,0.272,0.152,1.8
